Timestamp,Πότε συνέβη;,Πού συνέβη;,Σύνδεσμος σε βίντεο,Σύντομη περιγραφή,Εγκυρότητα,ID
3/15/2021 12:20:31,12/6/2020,Εξάρχεια,https://www.youtube.com/watch?v=HoCoha-4Zqw,Αστυνομικοί πέφτουν με μηχανάκια πάνω σε δημοσιογράφους,,64
3/15/2021 12:21:07,12/6/2020,Εξάρχεια,https://www.youtube.com/watch?v=zSEaCo1VJuw,Η αστυνομία ρίχνει κρότου λάμψης μέσα σε πολυκατοικία,duplicate,65
3/15/2021 12:23:15,12/6/2020,Χανιά,https://www.youtube.com/watch?v=P4q88V1Hz04,Αστυνομικοί επιτίθενται σε ακίνητους ανθρώπους με πανό,duplicate,66
3/15/2021 12:25:00,11/17/2020,Αθήνα,https://www.youtube.com/watch?v=4pTxIf_1DBg,Η αστυνομία επιτίθεται σε διαδηλωτές που αποχωρούν συντεταγμένα,approved,67
3/15/2021 12:28:00,11/14/2020,Καρδίτσα,https://www.youtube.com/watch?v=ysEwV9L3GpY,Επίθεση αστυνομικών σε ζευγάρι και βίαιη σύλληψη,approved,68
3/15/2021 12:34:59,10/7/2020,Εφετείο Αθηνών,https://www.facebook.com/595967955/videos/10157897860697956/,Η αστυνομία διαλύει την ειρηνική συγκέντρωση για την καταδικη της ΧΑ,,69
3/15/2021 12:36:43,7/9/2020,Αθήνα,https://www.youtube.com/watch?v=BcTU6Y4iodU,Αστυνομικοί πέφτουν με τις μηχανές πάνω σε διαδηλωτές,duplicate,70
3/15/2021 12:42:26,6/14/2020,Βόλος,https://www.youtube.com/watch?v=TsujH_Qnx-8,"Αστυνομικοί σπάνε 6 πλευρά στον  Βαγγέλη Μάγγο, ο οποίος πεθαίνει 1 μήνα μετά",duplicate,71
3/15/2021 12:47:12,7/15/2020,Αθήνα,https://www.youtube.com/watch?v=UZ96u8lTmwI,Αστυνομικοί επιτίθενται σε διαδηλωτές που αποχωρούν και συλλαμβάνουν βίαια τους Α.Τιτκώβ και Θ. Λάλο,duplicate,72
3/15/2021 12:48:26,7/15/2020,Αθήνα,https://www.facebook.com/periodikoKatiousa/videos/1227620664241940/,Αστυνομικοί φυτεύουν καδρόνια και μπουκάλι στον συλληφθέντα Θ. Λάλο,duplicate,73
3/15/2021 13:58:13,4/27/2020,Ιλίσια,https://www.efsyn.gr/ellada/koinonia/241003_binteo-me-xylodarmo-motosykletisti-apo-astynomiko?amp&__twitter_impression=true,Ξυλοδαρμός μοτοσυκλετιστή,approved,74
3/15/2021 14:18:56,12/19/2019,Κουκάκι,https://www.youtube.com/watch?v=7D1Z-KKG1TA,Εισβολή σε ιδιωτική κατοικία και κακοποίηση (υπόθεση σκηνοθέτη Ινδαρέ)),unclear,75
3/15/2021 16:40:52,12/11/2020,Λέσβος,https://www.youtube.com/watch?v=Tbd_x7HhyAY,Αστυνομικοί ξυλοκοπούν πρόσφυγες στη Μυτιλήνη,approved,76
3/15/2021 16:44:28,9/10/2020,Λέσβος,https://www.youtube.com/watch?v=xYUwNV-0oJw,Αστυνομικοί ρίχνουν δακρυγόνα σε παιδιά και ηλικιωμένους που φεύγουν από τη φλεγόμενη Μόρια,approved,77
3/15/2021 16:51:47,9/12/2021,Λέσβος,https://www.youtube.com/watch?v=Z7Xb_pV1V-8,Η αστυνομία ρίχνει χημικά σε ειρηνική πορεία μεταναστών και προσφύγων,unclear,78
3/15/2021 16:55:48,5/24/2020,Σεπόλια,https://www.youtube.com/watch?v=DUIgsdAueNs,Ξυλοδαρμός δύο νεαρών από αστυνομικούς,approved,79
3/15/2021 16:58:35,2/24/2020,Αθήνα,https://www.youtube.com/watch?v=VntYDd2CWjU,Κουκουλοφόρος αστυνομικός εκτός υπηρεσίας βγάζει όπλο εναντίον φοιτητών στο προαύλιο της ΑΣΟΕΕ,approved,80
3/15/2021 17:01:08,1/26/2020,Μενίδι,https://www.youtube.com/watch?v=S3751aPHjSY,Αστυνομικής χτυπάει 11χρονο παιδί,approved,81
3/15/2021 17:22:11,12/6/2019,Εξάρχεια,https://www.youtube.com/watch?v=qNYU_NBgsVs,Αστυνομικοί ξυλοκοπούν άνδρα πεσμένο στο δρόμο,approved,82
3/15/2021 17:45:45,10/3/2021,ΠΛΑΚΑ ΘΟΥΚΥΔΙΔΟΥ  ΩΡΑ 18:15,https://www.facebook.com/Orbanania/posts/143642964307669,Η περιγραφη του συμβαντος δινεται απο τον κοσμο που σχολιαζει στο τελος του βιντεο.,unclear,83
3/15/2021 17:48:28,4/28/2020,ΜΙΧΑΛΑΚΟΠΟΥΛΟΥ+ΞΕΝΙΑΣ,https://www.facebook.com/100014107292852/videos/1097136680766565,"συνοδεια ""επισημου"" κοντεψε να σκοτωσει οδηγο μηχανης,η ασφαλεια τραμπουκιζει τον οδηγο και τους αυτοπτες μαρτυρες",duplicate,84
3/15/2021 18:04:34,11/13/2014,"Οδός Στουρνάρη, Πολυτεχνείο",https://www.youtube.com/watch?v=4WCE6iCvK5g,Ξυλοδαρμός φοιτητών ,approved,85
3/15/2021 18:05:56,12/6/2020,Χανιά,https://www.youtube.com/watch?v=8Up41j0CfDU,Επίθεση αστυνομικών,approved,86
3/15/2021 18:06:52,12/6/2020,Εξάρχεια,https://www.youtube.com/watch?v=uc3cUUSI818,Εισβολή σε πολυκατοικία,approved,87
3/15/2021 18:08:34,11/17/2020,"Πανεπιστήμιο, Αθήνα",https://www.youtube.com/watch?v=VrbwOE4_YtI,Επίθεση σε ειρηνική διαδήλωση,approved,88
3/15/2021 18:10:21,2/24/2021,"Πανεπιστημίου, ΑΘήνα",https://www.youtube.com/watch?v=Duul-fxypLs,Επίθεση σε ειρηνική διαδήλωση,approved,89
3/15/2021 18:12:36,11/17/2019,Eξάρχεια,https://www.youtube.com/watch?v=YgYqh9pyTvQ,Αστυνομικό πογκρόμ,approved,90
3/15/2021 18:13:50,7/17/2020,Πατησίων,https://www.youtube.com/watch?v=wIGRcr2OtXM,Ξυλοδαρμός διαδηλωτών,approved,91
3/15/2021 18:14:47,6/14/2020,Βόλος,https://www.youtube.com/watch?v=uhD6gVhYoo0,Ξυλοδαρμός Βασίλη Μάγκου,duplicate,92
3/15/2021 18:15:57,2/3/2021,"Πανεπιστήμιο, Αθήνα",https://www.youtube.com/watch?v=HWV1Hxe3JG0,Επίθεση σε ειρηνική διαδήλωση,approved,93
3/15/2021 18:17:23,11/17/2014,Εξάρχεια,https://www.youtube.com/watch?v=Zkm65hjr9yI&t=106s,Αστυνομική τρομοκρατία και ξύλο,approved,94
3/15/2021 18:18:33,10/2/2020,"Πανεπιστήμιο, Αθήνα",https://www.youtube.com/watch?v=J408XMgaLC0,Βίαιη επίθεση σε φοιτητική πορεία,approved,95
3/15/2021 18:19:59,4/15/2018,Αθήνα,https://www.youtube.com/watch?v=Xk_FayiO6ws,Επίθεση ΜΑΤ σε συγκέντρωση,approved,96
3/15/2021 18:21:01,11/17/2020,"Σεπόλια, Αθήνα",https://www.youtube.com/watch?v=SO3Luy4M9AY,Σύλληψη οικογένειας στην είσοδο του σπιτιού τους,duplicate,97
3/15/2021 18:22:26,7/17/2020,Αθήνα,https://www.youtube.com/watch?v=fs5ocqcLLsY,Τοποθέτηση μολοτοφ σε σακίδιο συλληφθέντα,approved,98
3/15/2021 18:23:08,6/29/2011,"Σταδίου, Αθήνα",https://www.youtube.com/watch?v=_Jk6pooNckI,Ενοχοποίηση αθώου πολίτη,approved,99
3/15/2021 18:24:06,3/9/2021,Νέα Σμύρνη,https://twitter.com/annyy_An/status/1369384161509842946?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1369384161509842946%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.ieidiseis.gr%2Fellada%2Fitem%2F83777-nea-smyrni-apistefto-ksylo-se-polites-apo-astynomikoys-vinteo-pou-prokalei-anatrixila,Συλλήψεις και ξύλο στα τυφλά,duplicate,100
3/15/2021 21:24:39,12/6/2019,Εξάρχεια,https://www.youtube.com/watch?v=mlxtnTySeQg,Χρήση ασύμμετρης βίας ενάντια πολιτών αφού έχουν ήδη συλληφθεί και δεν προβαίνουν σε καμία αντίσταση,approved,101
3/15/2021 21:27:29,12/24/2020,Πύργος Ηλείας,https://www.youtube.com/watch?v=cJ69phM2Oiw,Παράνομη παρεμπόδιση καταγραφής περιστατικού βίας απο την αστυνομία σε πολίτη ,approved,102
3/16/2021 19:04:52,3/12/2021,Βασ. Σοφίας (πύλη εισόδου Βουλής),https://youtu.be/PTa4L2XiCjk?t=89,Εκδίωξη αυτόπτη μάρτυρα τροχαίου με σκοπό τη συγκάληψη,duplicate,103
3/16/2021 19:39:05,10/18/2019,Α.Τ. Ομονοίας,https://www.youtube.com/watch?v=ULxNnIMe4J8,Διάφορα περιστατικά αστυνομικής αυθαιρεσίας το βράδυ της 18ης Οκτωβρίου του 2019 στο Α.Τ. Ομονοίας,duplicate,104
3/16/2021 19:50:43,3/7/2021,Κέντρο Αθήνας,https://www.youtube.com/watch?v=kwj-GeWD25g,"Αστυνομικός των ΜΑΤ τραμπουκίζει πολίτη που όταν του λέει οτι είναι δικηγόρος του απαντάει ""Δικηγόρος είμαι και γω, της μάνας σου της πουτάνας""",duplicate,105
3/16/2021 20:00:02,3/8/2020,Εξάρχεια,https://www.facebook.com/permalink.php?story_fbid=2557071934508067&id=100006158567882,Αστυνομικοί της Ομάδας ΔΕΛΤΑ πετάνε καρέκλες και σπάνε τζαμαρία σε μαγαζί την Κωλέττη,duplicate,106
3/16/2021 20:03:41,7/4/2020,Εξάρχεια Κωλέττη,https://www.facebook.com/watch/?v=3018451804941910,Δακρυγόνα μέσα σε μαγαζί ,unclear,107
3/16/2021 22:02:07,11/1/2020,Γαλάτσι,https://twitter.com/i/status/1322943345057026049,"Επίθεση μετά από αντιφασιστική συγκέντρωση, χτύπησαν 5χρονο παιδί μέσα σε καφετέρια.",,108
3/16/2021 23:59:44,12/30/2020,Ασπρόπυργος,https://www.facebook.com/giwrgos.mavidis.1/videos/4267100213316433,ξυλοκοπουν οποιον βρουν στα στενα αφου διέλυσαν την διαμαρτυρία,approved,109
3/17/2021 1:51:14,3/8/2020,Εξάρχεια,https://www.facebook.com/100006158567882/videos/pcb.2557071934508067/2557070314508229,Αστυνομικοί της Ομάδας ΔΕΛΤΑ σπάνε τζαμαρία σε μαγαζί την Κωλέττη,approved,110
3/17/2021 1:52:38,3/8/2020,Εξάρχεια,https://www.facebook.com/100006158567882/videos/pcb.2557071934508067/2557071607841433,Αστυνομικοί της Ομάδας ΔΕΛΤΑ πετάνε καρέκλες,approved,111
3/17/2021 10:08:44,11/14/2020,Ρόδος,https://www.youtube.com/watch?v=ZCW9_aHTZ8w,,,112
3/17/2021 10:21:06,6/6/2020,Εξάρχεια,https://www.facebook.com/140094083069011/videos/274569267074472,"Αστυνομικός των ΜΑΤ φωνάζει ""Η γκόμενα σου σε έσφαξε Ρουβίκωνα""",,113
3/17/2021 10:23:02,12/6/2020,Εξάρχεια,https://www.youtube.com/watch?v=iBIJobYJsxk,Αστυνομικός των ΜΑΤ διαλύει στην πλάτη άλλυ αστυνομικού ανθοδέσμη που άφησε πολίτης στο σημείο που δολοφονήθηκε ο Αλέξανδρος Γρηγορόπουλος,,114
3/17/2021 12:41:56,6/29/2011,Πλατεία Συντάγματος,https://www.youtube.com/watch?v=5J3KpzuAXgk,Αστυνομικός των ΜΑΤ χτυπάει με γκλόπ στο κεφάλι πολίτη.,,
3/17/2021 18:53:24,3/16/2021,ΓΑΔΑ,https://video.omniatv.com/videos/watch/518823c1-f846-43b8-aa54-f047fc0dff20,Μαρτυρία βασανισμού,,116
3/17/2021 21:04:59,11/7/2020,Πάτρα,blob:https://www.facebook.com/30c87c77-58b2-4eec-a8f7-48882a6373e7, Ξυλοδαρμός αγωνιστή από δέκα άντρες των ΜΑΤ όταν τον εντόπισαν μόνο του ενώ κατευθυνόταν σε συγκέντρωση κατά της κρατικής διαχείρισης της πανδημίας την 1η μέρα του 2ου λοκντάουν,,117
3/17/2021 22:20:28,12/12/2008,,https://youtu.be/RfgnfWSD7eU,,,
3/17/2021 22:21:25,12/12/2008,,https://youtu.be/lia9nthJm8g,,,
3/17/2021 22:22:51,12/12/2008,,https://youtu.be/fte169hZ_ug,,,
3/17/2021 22:24:09,12/12/2008,,https://youtu.be/EgipzBgdgs8,,,
3/17/2021 22:27:22,11/17/2007,,https://youtu.be/2tktzl8fjTE,,,
3/17/2021 22:29:33,6/29/2011,,https://youtu.be/31vWtF6rs2g,,,
3/17/2021 22:59:27,7/5/2020,πλ. Βικτωρίας,https://youtu.be/L0HwbEq3mmw,"Βίαιη μεταφορά προσφύγων-ισσών, μεταναστριών/ών από την πλ.Βικτωρίας σε στρατόπεδα συγκέντωσης.",,
3/17/2021 23:21:11,3/9/2021,Νέα Σμύρνη,https://twitter.com/IKM_nc/status/1369376267905142791,Βίαιη σύλληψη ατόμου (ενώ κάτοικοι αποδοκιμάζουν),,
