,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,ID,description,input_string,number_of_results,status
46,"Ir. Politechniou 9, Zografou 157 73, Greece",37.9756771,23.7793562,ROOFTOP,ChIJmWuILfqXoRQROt-iebQPd38,"establishment,point_of_interest,university",157 73,85,Ξυλοδαρμός φοιτητών ,Πολυτεχνείο,1,OK
47,"Chania, Greece",35.5138298,24.0180367,APPROXIMATE,ChIJOz_P4L59nBQRqCzNeX1Vs5Q,"locality,political",,86,Επίθεση σε συγκέντρωση,Χανιά,1,OK
48,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,87,Εισβολή σε πολυκατοικία,Εξάρχεια,1,OK
49,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,88,Διάλυση ειρηνικής διαδήλωσης,Αθήνα,1,OK
50,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,89,Διάλυση ειρηνικής διαδήλωσης,Αθήνα,1,OK
51,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,90,Ξυλοδαρμός πολιτών,Eξάρχεια,1,OK
52,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,93,Επίθεση σε ειρηνική διαδήλωση,Αθήνα,1,OK
53,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,94,Κλοπή από περίπτερο και ξυλοδαρμός υπαλλήλου,Εξάρχεια,1,OK
54,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,95,Επίθεση σε φοιτητική πορεία,Aθήνα,1,OK
55,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,96,Επίθεση σε διαδήλωση,Αθήνα,1,OK
56,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,98,Τοποθέτηση μπουκαλιού σε σακίδιο συλληφθέντα,Αθήνα,1,OK
57,"Athens, Greece",37.9838096,23.7275388,APPROXIMATE,ChIJ8UNwBh-9oRQR3Y1mdkU1Nic,"locality,political",,99,Τοποθέτηση μπουκαλιών σε σακίδιο συλληφθέντα,Αθήνα,1,OK
58,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,101,Ξυλοδαρμός πολιτών που δεν προβάλουν αντίσταση,Εξάρχεια,1,OK
59,"Pyrgos 271 00, Greece",37.6718487,21.4432257,APPROXIMATE,ChIJ2_x3aLy_YBMR8eYsIFCIoQM,"locality,political",271 00,102,Παρεμπόδιση καταγραφής περιστατικού βίας,Πύργος Ηλείας,1,OK
60,"Galatsi, Greece",38.0188948,23.7560223,APPROXIMATE,ChIJLbYjnoSioRQRGDYRmwa6d6M,"locality,political",,108,Αστυνομική επίθεση σε καφετέρια και τραυματισμός 5χρονου παιδιού,Γαλάτσι,1,OK
61,"Aspropyrgos 193 00, Greece",38.0609063,23.5910603,APPROXIMATE,ChIJUyNV7HWloRQRa7wGkwx6Dg8,"locality,political",193 00,109,Ξυλοδαρμοί διαδηλωτών,Ασπρόπυργος,1,OK
62,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,110,Σπάσιμο τζαμαρίας σε μαγαζί την Κωλέττη,Εξάρχεια,1,OK
63,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,111,Επίθεση με καρέκλες,Εξάρχεια,1,OK
64,"Exarcheia, Athens, Greece",37.9878442,23.73566,APPROXIMATE,ChIJk8jKmja9oRQRck07-S29ACY,"neighborhood,political",,114,Ασέβεια σε μνημείο του Αλέξανδρου Γρηγορόπουλου,Εξάρχεια,1,OK
65,"Plateia Syntagmatos, Athina, Greece",37.9755253,23.7349038,APPROXIMATE,ChIJNQRIkj69oRQRDlYNy1cQumg,town_square,,115,Χτύπημα διαδηλωτή στο κεφάλι με γκλόπ,Πλατεία Συντάγματος,1,OK
66,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,121,Αστυνομικός πετάει πέτρες σε μαθητές διαδηλωτές,,1,OK
67,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,122,Ξυλοδαρμός ακινητοποιημένου νεαρού διαδηλωτή,,1,OK
68,"Komninaki 29, Mitilini 811 00, Greece",39.1062822,26.5589618,ROOFTOP,ChIJzaWqswlnuhQRRCeR19WUC-o,"establishment,food,point_of_interest,restaurant",811 00,123,Ξυλοδαρμός διαδηλωτή,,1,OK
